	city	neighborhood	price	house type	house_area	garden_area	rooms	balconies	air_condition	parking	protected_room	elevator	sun_balcony	renovated	furniture	accessibility	bars	storage
76	Tel Aviv Jaffa	הקריה	8300000.0	apartment	163.0	0.0	5.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
77	Tel Aviv Jaffa	הקריה	5500000.0	apartment	98.0	0.0	4.0	2.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0
78	Tel Aviv Jaffa	הצפון הישן החלק הדרום מזרחי	4400000.0	apartment	96.0	0.0	4.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
79	Tel Aviv Jaffa	פלורנטין	1790000.0	apartment	40.0	0.0	2.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0
80	Tel Aviv Jaffa	קרית שלום	2700000.0	penthouse	269.0	0.0	4.5	2.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0
81	Tel Aviv Jaffa	קרית שלום	4550000.0	duplex	180.0	0.0	6.0	2.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0
82	Tel Aviv Jaffa	קרית שלום	2550000.0	apartment	60.0	0.0	2.5	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
83	Tel Aviv Jaffa	התקווה	2450000.0	apartment	85.0	0.0	5.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0
84	Tel Aviv Jaffa	יד אליהו	2580000.0	apartment	62.0	0.0	2.5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
85	Tel Aviv Jaffa	אין	1530000.0	apartment	80.0	0.0	3.5	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
86	Tel Aviv Jaffa	הצפון הישן החלק הצפוני	13000000.0	penthouse	183.0	0.0	4.0	3.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
87	Tel Aviv Jaffa	אזורי חן	4550000.0	apartment	138.0	0.0	3.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0
88	Tel Aviv Jaffa	הצפון החדש החלק הדרומי	6900000.0	apartment	158.0	0.0	8.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
89	Tel Aviv Jaffa	הגוש הגדול	5000000.0	apartment	125.0	0.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0
90	Tel Aviv Jaffa	יד אליהו	3200000.0	apartment	100.0	0.0	3.5	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
91	Tel Aviv Jaffa	הצפון החדש סביבת ככר המדינה	2590000.0	apartment	90.0	0.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0
92	Tel Aviv Jaffa	הצפון החדש סביבת ככר המדינה	2600000.0	apartment	85.0	0.0	6.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0
93	Tel Aviv Jaffa	יד אליהו	3790000.0	private house	120.0	100.0	4.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
94	Tel Aviv Jaffa	הצפון החדש סביבת ככר המדינה	8360000.0	penthouse	160.0	0.0	5.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0
95	Tel Aviv Jaffa	הצפון החדש סביבת ככר המדינה	2850000.0	apartment	56.0	0.0	2.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0
96	Tel Aviv Jaffa	הצפון הישן החלק הדרום מזרחי	3050000.0	apartment	60.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0
97	Tel Aviv Jaffa	הצפון החדש סביבת ככר המדינה	4100000.0	apartment	70.0	0.0	3.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0
98	Tel Aviv Jaffa	הצפון הישן החלק הדרום מזרחי	7500000.0	apartment	125.0	0.0	4.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0
99	Tel Aviv Jaffa	אין	1730000.0	apartment	80.0	0.0	3.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
100	Tel Aviv Jaffa	הצפון הישן החלק הצפוני	5390000.0	garden apartment	91.0	56.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0
101	Tel Aviv Jaffa	הצפון החדש סביבת ככר המדינה	3850000.0	apartment	67.0	0.0	2.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0
102	Tel Aviv Jaffa	אין	2200000.0	apartment	80.0	0.0	2.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0
103	Tel Aviv Jaffa	קרית שלום	3200000.0	penthouse	177.0	0.0	5.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0
104	Tel Aviv Jaffa	הצפון החדש החלק הדרומי	5000000.0	apartment	80.0	0.0	3.0	2.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
105	Tel Aviv Jaffa	לב תל אביב החלק הדרומי	4250000.0	apartment	75.0	0.0	3.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0
106	Tel Aviv Jaffa	רמת אביב ג	4600000.0	apartment	115.0	0.0	4.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
107	Tel Aviv Jaffa	פלורנטין	1950000.0	apartment	48.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
108	Tel Aviv Jaffa	הצפון הישן החלק הדרום מערבי	13500000.0	penthouse	150.0	0.0	3.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0
109	Tel Aviv Jaffa	התקווה	2400000.0	apartment	90.0	0.0	4.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
110	Tel Aviv Jaffa	פלורנטין	3300000.0	apartment	70.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
111	Tel Aviv Jaffa	הצפון הישן החלק הדרום מזרחי	4750000.0	apartment	99.0	0.0	3.5	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0
112	Tel Aviv Jaffa	הצפון הישן החלק הצפוני	4500000.0	apartment	76.0	0.0	3.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0
113	Tel Aviv Jaffa	הצפון החדש סביבת ככר המדינה	8190000.0	apartment	158.0	0.0	5.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0
114	Tel Aviv Jaffa	הצפון הישן החלק הדרום מערבי	9800000.0	penthouse	114.0	0.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0
115	Tel Aviv Jaffa	הצפון הישן החלק הצפוני	3400000.0	penthouse	70.0	0.0	2.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0
116	Tel Aviv Jaffa	הצפון החדש החלק הדרומי	4700000.0	apartment	104.0	0.0	4.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0
117	Tel Aviv Jaffa	התקווה	1880000.0	garden apartment	78.0	50.0	4.0	2.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
118	Tel Aviv Jaffa	הצפון החדש החלק הדרומי	6390000.0	apartment	115.0	0.0	5.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
119	Tel Aviv Jaffa	הגוש הגדול	5300000.0	apartment	125.0	0.0	5.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0
120	Tel Aviv Jaffa	הצפון הישן החלק הצפוני	3590000.0	apartment	60.0	0.0	2.5	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
